Package Name,Reviewer name,Review,Rating
com.mumbo.obdiiscannerassistant,Michel Starc,Great app works perfectly,5
com.mumbo.obdiiscannerassistant,Mustafa R,Garbage. Doesn't work at all. Gives you two ads then crashes.,1
com.mumbo.obdiiscannerassistant,tha chanthy,Hk,5
com.mumbo.obdiiscannerassistant,Jason Schweikert,Horrible to set up and connect!,1
com.mumbo.obdiiscannerassistant,Jim Finnegan,"Every time I touch a button I get adds, it sees my OBD2 but can notopenor read it.",1
com.mumbo.obdiiscannerassistant,Inola Sunny,Good results,3
com.mumbo.obdiiscannerassistant,BALOGUN RUFAI OLUKAYODE,Very good and it helps,5
com.mumbo.obdiiscannerassistant,Aniq Irfan,Ok,5
com.mumbo.obdiiscannerassistant,Stephen D. Williams,Won't work,2
com.mumbo.obdiiscannerassistant,Masego Malefo,Good,1
com.mumbo.obdiiscannerassistant,Ismael Musaazi Kaweesa,Promising,5
com.mumbo.obdiiscannerassistant,Richard Findley,It works,5
com.mumbo.obdiiscannerassistant,Neil Brioso,Magnifecent,1
com.mumbo.obdiiscannerassistant,Grant Jones,All adds says I have problems with cylinder 7 on my v6,1
com.mumbo.obdiiscannerassistant,Benjamin McMaster,Utter trash. Infested with ads,1
com.mumbo.obdiiscannerassistant,Matt Munnerlyn,Ok,3
com.mumbo.obdiiscannerassistant,KoThar Gyi,thank,5
com.mumbo.obdiiscannerassistant,Francisco Meza Medel,Very good app,4
com.mumbo.obdiiscannerassistant,Abbas Khan,Very nice app for car diagnosis,5
OCTech.Mobile.Applications.TouchScan,Dedi Sarodji,It's fun,5
OCTech.Mobile.Applications.TouchScan,Avocado Handler,So far they got me for $20. Can't seem to get the app to connect. Haven't been able to use it once. Rip off artists.,1
OCTech.Mobile.Applications.TouchScan,Tryck Spyder,"So far so good. 17 Altima, discovered a bad O2. Torque Pro couldn't do that. Thank you.",5
OCTech.Mobile.Applications.TouchScan,James Seagle,After latest update just keeps cycling through protocols and won't connect,2
OCTech.Mobile.Applications.TouchScan,Anatoli Iliev,"Nice app, some test readings are a bit unclear, especially on old vehicles, but that might be because if the Viecar adapter I am using. The support is great and replies fast to any inquiries. Totally recommend it.",5
OCTech.Mobile.Applications.TouchScan,T K,Awesome diagnostic tool!,5
OCTech.Mobile.Applications.TouchScan,Jerry Mancini,Does not work. Save you money and get Car Scanner ELM OBD2. It is free plus found and cleared my SRS code!,1
OCTech.Mobile.Applications.TouchScan,Easy Yummy Cuisine,"It's good app but expensive to buy advanced diagnosis, for each brand needs to add 300usd extra...., which is unfair",4
OCTech.Mobile.Applications.TouchScan,Johnny,Very unhappy with this app and how it works on my device as it does not adjust the screen plus I cannot scrool the pages. I wasted my money and wish I can get a refund.,1
OCTech.Mobile.Applications.TouchScan,Rob Gaughan,"Just avoid this app. They got me for $5, then anytime you want to use on a different vehicle you have to PURCHASE AGAIN the ""enhanced options"". They got me.....so I get to leave this review, don't let them get you too. This app will nickel and dime you all day long.",1
OCTech.Mobile.Applications.TouchScan,Justin TIME,"Seems decent, have connectivity problems sometimes but pretty good, I bought the extra pack for my vehicle ( 17,maxima)",3
OCTech.Mobile.Applications.TouchScan,Mcdonald,Well the app looks way better.p,4
OCTech.Mobile.Applications.TouchScan,Tyrrel Vlotman,Brilliant!!,5
OCTech.Mobile.Applications.TouchScan,kal zei,Best odb2 app i found yet don't be afraid to play with settings got my fuel efficiency by switching my cars reading by changing my reading to mass air flow i sspecially that it tracks your fuel usage and distance for as long as the odb2 gets connected everytime I drive I connected it it even changed my driveing habits for more fuel efficiency like how customizable gage cluster is and can be set up as a mirrored heads up display for dark roads too PIDS are cenpatable connect to obd2,5
OCTech.Mobile.Applications.TouchScan,Jason Colee,"This app has worked great with my Veepeak obdii dongle. It reads codes, and resets them in all of my jeeps with no problem. Great app.",5
OCTech.Mobile.Applications.TouchScan,Ibnu Ibrahim,Nice,4
OCTech.Mobile.Applications.TouchScan,Michael Koury,Just spent $49 for enhanced so I could check ABS on 2000 f350...worthless! Have ABS light on and no reading.,1
OCTech.Mobile.Applications.TouchScan,Robert Amerson,Great app! I have been using it for years now. It has helped me keep the last 4 vehicles I've owned healthy. Thanks to the few developement team for an excellent app. The only thing I would like to see it do better would be to add more manufacturer specific code interpretations. The generic ones do get me in ballpark on my cars.,5
OCTech.Mobile.Applications.TouchScan,Martin Paunov,Ok,5
OCTech.Mobile.Applications.TouchScan,Lexus GS350,Very goog,5
OCTech.Mobile.Applications.TouchScan,A V,"You can get the same features on a free app, this app totally conned me of all the ""hidden data"" they promised to unlock. Do not purchase!",1
OCTech.Mobile.Applications.TouchScan,Jephro Sievers,It didnt work at all. Itt never connected to my obd2 adaptor,1
OCTech.Mobile.Applications.TouchScan,Karl Bell,Found the issue with my logging after the update to android 12. Turns out triggering from GPS no longer works as it should. I have now found that polling at a set interval as well as adding a button to begin logging appears to work.,4
OCTech.Mobile.Applications.TouchScan,Scott Smith,Does not work with my elm327 odb2 Bluetooth adapter though the description says it would. I have requested a refund.,1
OCTech.Mobile.Applications.TouchScan,John Simon,Not user intuitive. Can't connect to bafx obd2 scanner,1
OCTech.Mobile.Applications.TouchScan,Kevin Hughes,Works great with my second gen Prius with the codes pack.,5
OCTech.Mobile.Applications.TouchScan,Hanks Custom Works,Good works perfect wish it was same price on apple store tho $5 more on iphone,5
OCTech.Mobile.Applications.TouchScan,Alan Gilmour,Found and cleared engine management light on vauxhall vivaro no problem,4
OCTech.Mobile.Applications.TouchScan,Wesley Cichosz,"Concise, easy, and very visual",5
OCTech.Mobile.Applications.TouchScan,Choua Khang,Very good but missing a widget gauge feature. Running split screen the resizing makes it harder to read so sometimes I have to use torque app for the widget mode.,4
OCTech.Mobile.Applications.TouchScan,Tom Kaylor,Works great when works,4
OCTech.Mobile.Applications.TouchScan,Alba Scruta,"Purchased a Veepeak Mini WiFi OBD2 Scanner and this app was recommended as compatible. The device shows up in the app, but will not connect.",1
OCTech.Mobile.Applications.TouchScan,Justin Vancooney,Pretty good app. Does everything I've tried to do with it.,5
OCTech.Mobile.Applications.TouchScan,lonny duran,Works good,5
OCTech.Mobile.Applications.TouchScan,tktezza,"I would like to be able to view individual injector performance but can't find the option.could someone tell me how to do this! I asked this question months ago, I have changed me rating based on the lack of support.",2
OCTech.Mobile.Applications.TouchScan,Luigi Acevedo,Nice and simple to use. I need help with BMW PID,5
OCTech.Mobile.Applications.TouchScan,Kaspars Ozoliņš,Not working on Nissan navara 2006,1
OCTech.Mobile.Applications.TouchScan,C Wood,Does not read ABS or SRS airbag systems!,1
OCTech.Mobile.Applications.TouchScan,Lee Smith,Did not give me real-time information on user created PIDs. I had to keep refreshing it to get my temps. Works but very clumsy.,2
OCTech.Mobile.Applications.TouchScan,Viet Tran,EASY to use and to understand errors. Blows CARLY out of the water. I spent 6 months trying to fix an error with Carly and over 1500 in parts to no avail. Read about OBD Fusion and gave it a try and literally fixed my e46 electric fault in 30 mins without buy any parts.,5
OCTech.Mobile.Applications.TouchScan,Frank Martin,Works for what I need .,5
