Package Name,Reviewer name,Review,Rating
com.karson.android.cardock,A Google user,"I haven't tried everything, but most things seem to work fine. However, I thought by setting ""custom music"" I would be able to set my preferred media player to start, which is TuneWiki Pro. On my Droid Razr, by default I'm only given two media players to choose from, Google and Motorola, neither of which I care for. Where it says ""custom music"" I thought I'd be able to change that. I was wrong. I'm uninstalling for now.",3
com.autolauncher.motorcar.free,Stephen Esparza,Stephen Esparza add,5
com.autolauncher.motorcar.free,Sun Google Pay,Sun,5
com.autolauncher.motorcar.free,Dave Ling,Too bad im waiting for a long time but still pending not install!,5
com.autolauncher.motorcar.free,Shiraaz Abrahams,"See Great app, user 2and accurate",5
com.autolauncher.motorcar.free,Ali Kalut,OK,4
com.autolauncher.motorcar.free,Amir Farahnak,Ok,5
com.autolauncher.motorcar.free,Vj Thomas,amazing app.its very easy to use. everything is on the screen which I wanted.,5
com.autolauncher.motorcar.free,Leong Powers,this the among the best car launcher that i ever use,5
com.autolauncher.motorcar.free,Martin Daly,Poor no apps working or hands free,1
com.autolauncher.motorcar.free,Gowdhami Kosi,excellent,5
com.autolauncher.motorcar.free,Praveen Raj,Worst,1
com.autolauncher.motorcar.free,Wan Bakar,terbaik,5
com.autolauncher.motorcar.free,Tim H,Unbelievable. Took over the phone and I couldn't use it for anything. Couldn't be uninstalled directly only through a third party uninstaller. Avoid at all costs.,1
com.autolauncher.motorcar.free,Chouaib Nina,Crached most of time,1
com.autolauncher.motorcar.free,Denis Arena,chur,5
com.autolauncher.motorcar.free,Slk 4fun,Terrible app after install fone was not working till uninstall was complite,1
com.autolauncher.motorcar.free,___,good viwe,5
com.autolauncher.motorcar.free,Dameon Davis,App tried to control the whole phone and then wouldn't uninstall properly. This app is trash,1
com.autolauncher.motorcar.free,James Lester,"Downloaded the free version to see if I like it and could configure it with a tablet to use as a head unit project. Unable to change many configuration settings, and my tablet permissions won't work on some functions. Unless I pay for the full version, I can't experience the program the way I need it to work. Maybe..?",4
com.autolauncher.motorcar.free,Scott Elsworthy,Not good at all. Super buggy.,1
com.autolauncher.motorcar.free,Nouredine Jijel,toooop to pop,5
com.autolauncher.motorcar.free,nordine said,I really appreciate the app,5
com.autolauncher.motorcar.free,Elvis Rodriguez,excellent,5
com.autolauncher.motorcar.free,Satheesh kumar,good one,5
com.autolauncher.motorcar.free,Daniela Apostol,"Can't even install it, won't allow selection of access during use.",1
com.autolauncher.motorcar.free,mizam othman,verygood,5
com.autolauncher.motorcar.free,Niranjan Kubade,ok,3
com.autolauncher.motorcar.free,Cuong Truong,awesome interface,5
com.autolauncher.motorcar.free,J.M.,Best free launcher,5
com.autolauncher.motorcar.free,Bhushan More,"I have try default theme for my sonilex display home screen, but I'm unable to set ...when i was clicking on car launcer app that becomes start or else not default setup.. mostly set home screen theme my it is not setting up .",3
com.autolauncher.motorcar.free,Ashok Rathinavel,"Simple interface, makes it good for car stereo. If the traffic map can be replaced with navigation, it would be grate. The cost paid version is worth, but Charging for Every new them makes it not pocket friendly. With pro version can we have a set of apps to auto start/ launch at power on (like map, music player, Google assistant) should automatically start along with car stereo power on, which make the operation smoother while driving",5
com.autolauncher.motorcar.free,Zoltan Gyulai,Bugs.bugs.buuuuugs,1
com.autolauncher.motorcar.free,Daniel Dumuk,cool very user friendly sometimes,5
com.autolauncher.motorcar.free,Quick Mind,simple and working properly,5
com.autolauncher.motorcar.free,Basit Khan,This app can harm your device dont use it,1
com.autolauncher.motorcar.free,Robinson Cusipag,Good app,5
com.autolauncher.motorcar.free,Bilal Memou,Nice app for cars android,5
com.autolauncher.motorcar.free,Marek Marsik,o.k.,5
com.autolauncher.motorcar.free,amir heydari,OK,5
com.autolauncher.motorcar.free,Dr. Amir Shemirani,nice,5
com.autolauncher.motorcar.free,Mukesh Muksa,nice,5
com.autolauncher.motorcar.free,IMRAN Siddiqui,again and again crash,1
com.autolauncher.motorcar.free,davinder devgan,very nice,5
com.autolauncher.motorcar.free,Pear name Por,You my phone service IT is money wark,3
com.autolauncher.motorcar.free,James Tenny,"Used to be a 5 star app. However, recently the app will no longer pick up satellites, thus the speed, compass and location functions no longer work. Unacceptable.",3
com.autolauncher.motorcar.free,Mazda.cx7 Mazda,owsome,5
com.autolauncher.motorcar.free,Ole Skou,"Nice launcher, but i didn't find any where the FM raidio worked :-(",3
com.autolauncher.motorcar.free,Alberto Benavidez,Good,4
com.autolauncher.motorcar.free,Sofian Sofian,Oki,3
com.autolauncher.motorcar.free,Ahmed Elnimr,ok,3
com.autolauncher.motorcar.free,Riad Chaoui,ok,5
com.autolauncher.motorcar.free,Ehsan Lashani,it's okey,3
com.autolauncher.motorcar.free,John Weiss,"Not very customizable. Orientation is fixed. My car already has a speedometer, I don't need an app with one.",2
com.autolauncher.motorcar.free,WHITEBOY,so far it's good,5
com.autolauncher.motorcar.free,Zaki Hussin,great,5
com.autolauncher.motorcar.free,developer android,very good,5
com.autolauncher.motorcar.free,J Zeshmann Fofie,good,5
com.autolauncher.motorcar.free,Rajeev Nayak,child,5
com.autolauncher.motorcar.free,Ania Yassine,this niceeeeeeeeeeeee,5
com.autolauncher.motorcar.free,ShawnaWrites,self-explanatory and very easy to set up.,4
com.autolauncher.motorcar.free,chea kimsea,Can't skip ort go to next song,2
com.autolauncher.motorcar.free,Nardi Asli,good,5
com.autolauncher.motorcar.free,Peter Lee,Unable to control,1
com.autolauncher.motorcar.free,Johnny B,"Not for me as it has so many bugs when trying to use this in landscape, the music virtualiser keeps going missing and the internet, Paypal and email icons keep popping up for no reason! Please fix! I'll stick to AGAMA car launcher.",2
com.autolauncher.motorcar.free,Tsen Hon Chung,Great,5
