Package Name,Reviewer name,Review,Rating
com.gpsnavigation.maps.gpsroutefinder.routemap,shivkumar lolpe,G ood,4
com.gpsnavigation.maps.gpsroutefinder.routemap,Shekher Shahi,Good feedback from gps,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Manoj Prasad123,Wonderful,3
com.gpsnavigation.maps.gpsroutefinder.routemap,Suresh Singh,very good,5
com.gpsnavigation.maps.gpsroutefinder.routemap,lawal sefiyat,"Too bad to download, don't waist your data on this app. I give zero star to the site",1
com.gpsnavigation.maps.gpsroutefinder.routemap,Shamal Ingle,Jaldi karo,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Aboutwalib Jumanne Saleh GunDa,nice,5
com.gpsnavigation.maps.gpsroutefinder.routemap,soe soe,ရန်ကုန်,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Coppr 2000RIP,"No map, just blank screen. Not good uninstalling immediately.....",1
com.gpsnavigation.maps.gpsroutefinder.routemap,Jah Rasta,"Line Moscow live,,",3
com.gpsnavigation.maps.gpsroutefinder.routemap,Johnstone Njiru,Nice,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Ramesh Romance,Ncie,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Mike chikolera,Requires wifi,1
com.gpsnavigation.maps.gpsroutefinder.routemap,Karan singh Ahirwar,Bhoopenrdra ahirwar,1
com.gpsnavigation.maps.gpsroutefinder.routemap,pk2 dekho,I love 💕😘💕😘💕😘💕 you,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Mithilesh Kumar,Good,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Meeraiah Challa,Good,5
com.gpsnavigation.maps.gpsroutefinder.routemap,Tarun,Showed 2 ads and asked for money before even showing anything!,1
com.gpsnavigation.maps.gpsroutefinder.routemap,Oscar Miranda,It does not work,1
com.gpsnavigation.maps.gpsroutefinder.routemap,mahesh puradkar,Very slow,1
com.gpsnavigation.maps.gpsroutefinder.routemap,Krishan Chopra.,V good,5
com.gpsnavigation.maps.gpsroutefinder.routemap,David Quilestino,I like love map gps,5
